E1,E2,E3,E4,P1,P2,P3,P4
0.00010284011661330806,0.00014032285807476827,0.00019180216371774312,-8.037122881530554e-06,0.0013881818298059486,0.0009256283283138713,0.0004477097796794992,0.0011296786644352421
0.00010378178689920835,0.00014155518767246497,0.0001935351286181933,-8.047127780616139e-06,0.001399905193776976,0.0009336326693588147,0.00045179137750727576,0.0011392081341127717
0.00010471682401733613,0.000142778513260717,0.00019525588646131058,-8.056655332050628e-06,0.0014115396086835385,0.0009415778725780096,0.00045584464377001826,0.0011486641617679649
0.00010564520252799425,0.0001439928170274327,0.00019696439550598318,-8.065724217807979e-06,0.001423085047455103,0.0009494638557946258,0.00045986947075175676,0.0011580467217363387
0.00010656689833390665,0.00014519808246994927,0.00019866061635631107,-8.074352579424896e-06,0.0014345414914680615,0.000957290544473454,0.00046386575643129785,0.0011673557958230528
0.00010748188868021802,0.00014639429439503314,0.00020034451196160593,-8.082558018000829e-06,0.0014459089305457263,0.0009650578717209022,0.00046783340448222415,0.0011765913733029112
0.0001083901521544942,0.00014758143891887998,0.00020201604761639123,-8.090357594197985e-06,0.0014571873629583352,0.0009727657782849968,0.00047177232427289534,0.0011857534509203621
0.00010929166868672187,0.0001487595034671145,0.0002036751909604022,-8.097767828241313e-06,0.0014683767954230486,0.0009804142125553834,0.0004756824308664471,0.0011948420328894971
0.00011018641954930871,0.00014992847677479062,0.00020532191197858586,-8.104804699918515e-06,0.0014794772431039494,0.0009880031305633267,0.0004795636450207918,0.0012038571308940523
0.00011107438735708335,0.0001510883488863913,0.00020695618300110104,-8.111483648580042e-06,0.0014904887296120445,0.000995532495981709,0.00048341589318861764,0.0012127987640874083
0.00011195555606729538,0.00015223911115582877,0.0002085779787033182,-8.117819573139095e-06,0.0015014112870052642,0.001003002280125032,0.00048723910751739005,0.0012216669590925883
0.00011282991097961534,0.00015338075624644426,0.0002101872761058196,-8.123826832071624e-06,0.0015122449557884608,0.0010104124619494158,0.0004910332258493502,0.0012304617500022614
0.00011369743873613463,0.00015451327813100835,0.0002117840545743995,-8.129519243416326e-06,0.001522989784913411,0.0010177630280525996,0.0004947981917215161,0.0012391831783787393
0.00011455812732136581,0.00015563667209172053,0.00021336829582006356,-8.134910084774652e-06,0.001533645831778814,0.00102505397267394,0.0004985339543656821,0.0012478312932539778
0.00011541196606224212,0.0001567509347202096,0.00021493998389902948,-8.140012093310796e-06,0.0015442131622302928,0.0010322852976944136,0.0005022404687084187,0.001256406151129577
0.00011625894562811812,0.0001578560639175334,0.0002164991052127266,-8.14483746575171e-06,0.0015546918505603936,0.0010394570126366146,0.0005059176953710733,0.0012649078159767818
0.00011709905803076899,0.00015895205889417897,0.00021804564850779607,-8.149397858387087e-06,0.0015650819795085848,0.001046569134664757,0.000509565600669769,0.0012733363592364797
0.000117932296624391,0.00016003892017006245,0.00021957960487609075,-8.153704387069375e-06,0.0015753836402612586,0.0010536216885846726,0.000513184156615406,0.0012816918598192028
0.00011875865610560141,0.0001611166495745292,0.0002211009677546754,-8.15776762721377e-06,0.0015855969324517314,0.001060614706843812,0.0005167733409136609,0.001289974404105128
0.0001195781325134383,0.0001621852502463536,0.0002226097329258264,-8.161597613798216e-06,0.0015957219641602417,0.0010675482295312442,0.0005203331369649859,0.001298184085944075
0.00012039072322936087,0.00016324472663373934,0.00022410589851703185,-8.165203841363406e-06,0.0016057588519139512,0.0010744223043776579,0.0005238635338646108,0.001306321006655508
0.00012119642697724921,0.00016429508449431908,0.00022558946500099203,-8.168595264012782e-06,0.0016157077206869447,0.0010812369867553586,0.000527364526402541,0.001314385275028535
0.0001219952438234043,0.0001653363308951547,0.00022706043519561832,-8.17178029541254e-06,0.001625568703900231,0.0010879923396782728,0.0005308361150635586,0.0013223770073219092
0.00012278717517654814,0.00016636847421273724,0.00022851881426403446,-8.174766808791623e-06,0.0016353419434217416,0.0010946884338019435,0.0005342783060272218,0.001330296327264026
0.00012357222378782368,0.00016739152413298687,0.0002299646097145757,-8.177562136941725e-06,0.001645027589566331,0.001101325347423534,0.0005376911111678656,0.001338143366052926
0.00012435039375079484,0.00016840549165125283,0.00023139783140078892,-8.180173072217278e-06,0.0016546258010957775,0.0011079031664818243,0.0005410745480546014,0.0013459182623562931
0.00012512169050144645,0.00016941038907231372,0.00023281849152143307,-8.18260586653548e-06,0.0016641367452187822,0.0011144219845572155,0.0005444286399513169,0.001353621162311456
0.0001258861208181843,0.00017040623001037696,0.0002342266046204787,-8.184866231376271e-06,0.0016735605975909693,0.0011208819028717253,0.000547753415816676,0.0013612522195253873
0.00012664369282183518,0.00017139302938907938,0.00023562218758710799,-8.186959337782337e-06,0.0016828975423148866,0.001127283030288991,0.0005510489103041196,0.0013688115950747026
0.0001273944159756468,0.00017237080344148682,0.00023700525965571532,-8.18888981635912e-06,0.0016921477719400052,0.0011336254833142687,0.0005543151637618644,0.0013762994575056632
0.0001281383010852878,0.00017333956971009431,0.00023837584240590635,-8.190661757274805e-06,0.001701311487462718,0.0011399093860944324,0.0005575522222329038,0.0013837159828341728
0.0001288753602988479,0.00017429934704682598,0.00023973395976249875,-8.192278710260331e-06,0.0017103888983263436,0.0011461348704179752,0.0005607601374550075,0.0013910613545457797
0.0001296055700914326,0.0001752501254236626,0.00024107958369531723,-8.193764549039929e-06,0.0017193800981152691,0.0011523019331883867,0.0005639388295617039,0.0013983356447516521
0.00013032890193774352,0.0001761919003786589,0.00024241268234738848,-8.195157782764e-06,0.001728285342364554,0.0011584106353319432,0.0005670882040556521,0.0014055390447085452
